StudentID,Course,Mode_of_Study,Age,Gender,Admission_Date,Attendance_%,Assignment_Score,Midterm_Score,Final_Score,Hours_Studied_Weekly,Forum_Participation,Fee_Paid_%,Scholarship,Counseling_Sessions,Overall_Score,Pass_Fail,Dropout_Risk,Status
2483,Web Dev,Online,24,Female,2025-09-26,67,36,70,63,17,39,82,Yes,1,59.7,Pass,Low,Active
2484,HR Management,Hybrid,25,Male,2025-09-27,74,38,98,70,2,29,90,No,2,72.0,Pass,Low,Active
2485,Data Science,Hybrid,30,Male,2025-09-28,82,83,39,38,18,4,92,Yes,3,47.3,Fail,Medium,Active
2486,Digital Marketing,Hybrid,23,Female,2025-09-29,50,90,95,87,19,11,68,No,2,90.0,Pass,High,At-Risk
2487,Data Science,Hybrid,19,Female,2025-09-30,70,31,60,85,14,6,51,Yes,4,66.7,Pass,Low,Active
2488,Digital Marketing,Offline,25,Female,2025-10-01,88,79,38,32,6,44,60,Yes,4,43.2,Fail,High,At-Risk
2489,Finance,Hybrid,28,Female,2025-10-02,87,60,27,81,7,12,84,No,0,60.6,Pass,Low,Active
2490,Web Dev,Online,18,Male,2025-10-03,78,62,91,80,2,48,66,Yes,4,79.7,Pass,Low,Active
2491,Data Science,Offline,23,Male,2025-10-04,75,40,43,49,11,3,91,No,0,45.4,Fail,Medium,Active
2492,HR Management,Hybrid,33,Male,2025-10-05,69,62,78,49,6,49,52,Yes,4,60.3,Pass,Low,Active
2493,Finance,Online,29,Female,2025-10-06,62,36,93,70,2,41,71,No,4,70.1,Pass,Low,Active
2494,Data Science,Offline,28,Male,2025-10-07,58,60,34,67,24,2,84,No,3,55.7,Pass,Medium,Active
2495,HR Management,Offline,27,Female,2025-10-08,51,77,57,52,12,11,70,Yes,0,58.5,Pass,High,At-Risk
2496,Data Science,Hybrid,20,Female,2025-10-09,54,76,37,93,8,0,74,No,0,72.8,Pass,High,At-Risk
2497,Digital Marketing,Offline,30,Male,2025-10-10,70,82,75,38,19,26,88,No,4,57.900000000000006,Pass,Low,Active
2498,Data Science,Online,20,Female,2025-10-11,82,48,56,90,22,42,51,Yes,0,71.4,Pass,Medium,Active
2499,Data Science,Offline,32,Male,2025-10-12,76,35,99,76,21,49,50,Yes,4,74.7,Pass,Low,Active
2500,Data Science,Online,33,Female,2025-10-13,76,78,48,38,22,12,56,No,4,49.0,Fail,High,At-Risk
2501,Finance,Offline,30,Male,2025-10-14,54,79,59,98,11,16,69,No,2,82.5,Pass,High,At-Risk
2502,Data Science,Hybrid,34,Female,2025-10-15,68,41,94,60,16,7,92,No,0,66.4,Pass,Low,Active
2503,HR Management,Online,20,Male,2025-10-16,89,52,64,61,5,31,55,No,1,60.1,Pass,Low,Active
2504,Digital Marketing,Offline,28,Male,2025-10-17,82,83,78,71,17,19,85,No,0,75.5,Pass,Low,Active
2505,Digital Marketing,Offline,28,Female,2025-10-18,65,98,68,23,16,16,100,Yes,0,51.5,Pass,Low,Active
2506,Data Science,Offline,33,Female,2025-10-19,83,88,86,23,16,33,70,No,3,54.900000000000006,Pass,Low,Active
2507,Finance,Online,20,Male,2025-10-20,41,65,92,24,13,34,100,No,1,52.599999999999994,Pass,Medium,Active
2508,Finance,Online,23,Female,2025-10-21,59,32,57,60,9,34,95,No,1,53.5,Pass,Medium,Active
2509,HR Management,Online,31,Female,2025-10-22,54,87,80,80,9,37,84,No,3,81.4,Pass,Medium,Active
2510,Data Science,Hybrid,34,Female,2025-10-23,91,84,60,94,19,41,85,No,3,81.8,Pass,Low,Active
2511,Digital Marketing,Hybrid,21,Male,2025-10-24,43,86,78,74,7,23,57,No,0,77.6,Pass,High,At-Risk
2512,Finance,Online,32,Male,2025-10-25,61,46,43,94,6,17,99,No,2,69.1,Pass,Low,Active
2513,Data Science,Offline,28,Female,2025-10-26,89,68,67,32,3,49,53,Yes,3,49.7,Fail,High,At-Risk
2514,Finance,Hybrid,20,Female,2025-10-27,77,97,36,33,13,45,92,Yes,1,46.7,Fail,Medium,Active
2515,Finance,Online,20,Male,2025-10-28,62,84,35,79,5,47,65,No,1,66.8,Pass,Low,Active
2516,Digital Marketing,Offline,33,Female,2025-10-29,98,74,94,91,24,38,52,No,0,88.5,Pass,Medium,Active
2517,Web Dev,Hybrid,22,Male,2025-10-30,65,30,36,44,14,32,56,Yes,2,38.8,Fail,High,At-Risk
2518,HR Management,Offline,27,Female,2025-10-31,90,50,65,63,18,48,51,No,4,61.0,Pass,Low,Active
2519,HR Management,Offline,21,Female,2025-11-01,50,50,49,29,17,22,50,No,3,39.2,Fail,High,At-Risk
2520,Digital Marketing,Offline,28,Female,2025-11-02,67,81,27,90,10,24,50,Yes,3,69.3,Pass,Low,Active
2521,Finance,Offline,19,Male,2025-11-03,95,72,27,69,2,36,87,Yes,0,57.0,Pass,Low,Active
2522,Data Science,Hybrid,27,Male,2025-11-04,41,81,52,63,16,26,100,No,2,63.3,Pass,Medium,Active
2523,Finance,Hybrid,28,Male,2025-11-05,98,96,47,33,13,0,56,No,1,49.800000000000004,Fail,High,At-Risk
2524,Digital Marketing,Hybrid,33,Male,2025-11-06,47,73,72,34,6,20,73,No,1,53.2,Pass,High,At-Risk
2525,HR Management,Online,28,Female,2025-11-07,68,61,91,35,24,48,54,No,4,57.0,Pass,Low,Active
2526,Finance,Hybrid,31,Female,2025-11-08,50,39,66,21,19,9,70,No,1,38.1,Fail,High,At-Risk
2527,HR Management,Offline,19,Male,2025-11-09,76,93,64,49,21,30,77,Yes,3,62.3,Pass,Low,Active
2528,Data Science,Hybrid,22,Female,2025-11-10,57,98,30,49,3,43,67,No,4,53.1,Pass,High,At-Risk
2529,HR Management,Offline,22,Female,2025-11-11,94,97,44,50,5,24,73,No,2,57.6,Pass,Low,Active
2530,HR Management,Online,29,Male,2025-11-12,89,57,35,96,16,19,81,No,4,69.9,Pass,Low,Active
2531,Web Dev,Offline,21,Female,2025-11-13,53,82,51,39,7,1,94,Yes,2,51.2,Pass,Medium,Active
2532,Web Dev,Offline,34,Female,2025-11-14,93,80,45,68,23,47,82,Yes,1,63.5,Pass,Low,Active
2533,Web Dev,Offline,27,Male,2025-11-15,49,82,37,54,13,14,59,No,0,54.5,Pass,High,At-Risk
2534,HR Management,Online,23,Female,2025-11-16,74,33,59,42,19,27,58,No,4,45.3,Fail,High,At-Risk
2535,Digital Marketing,Hybrid,31,Female,2025-11-17,48,46,71,80,21,12,98,No,4,70.5,Pass,Medium,Active
2536,HR Management,Hybrid,28,Female,2025-11-18,74,96,52,74,5,49,82,No,3,71.80000000000001,Pass,Low,Active
2537,Digital Marketing,Online,28,Male,2025-11-19,50,76,45,86,2,13,82,No,3,71.7,Pass,Medium,Active
2538,Digital Marketing,Offline,28,Male,2025-11-20,83,85,42,27,16,49,56,No,2,43.1,Fail,High,At-Risk
2539,Web Dev,Hybrid,29,Female,2025-11-21,51,52,55,59,19,1,53,No,0,56.4,Pass,High,At-Risk
2540,Finance,Online,22,Female,2025-11-22,42,47,84,78,15,33,77,No,3,73.6,Pass,High,At-Risk
2541,Data Science,Hybrid,26,Female,2025-11-23,92,30,61,51,4,34,72,No,3,49.8,Fail,High,At-Risk
2542,Web Dev,Online,26,Male,2025-11-24,78,64,45,26,16,36,81,Yes,1,39.3,Fail,Medium,Active
2543,Web Dev,Offline,27,Male,2025-11-25,53,93,38,21,6,24,93,Yes,1,40.5,Fail,High,At-Risk
2544,Finance,Hybrid,18,Male,2025-11-26,95,87,84,25,23,47,65,No,3,55.1,Pass,Low,Active
2545,Data Science,Online,24,Female,2025-11-27,67,88,47,55,4,14,95,No,2,59.2,Pass,Low,Active
2546,HR Management,Hybrid,21,Female,2025-11-28,50,30,53,51,23,11,59,No,0,47.4,Fail,High,At-Risk
2547,HR Management,Hybrid,18,Female,2025-11-29,78,32,71,64,8,8,63,No,3,59.7,Pass,Low,Active
2548,Web Dev,Hybrid,32,Female,2025-11-30,64,96,54,61,7,30,88,No,2,65.9,Pass,Low,Active
2549,Data Science,Hybrid,25,Female,2025-12-01,60,66,62,72,23,13,85,No,2,67.8,Pass,Low,Active
2550,Web Dev,Online,29,Male,2025-12-02,49,58,51,28,2,28,83,No,3,40.9,Fail,High,At-Risk
2551,Digital Marketing,Offline,32,Female,2025-12-03,82,62,39,94,20,47,73,Yes,2,71.1,Pass,Low,Active
2552,Web Dev,Online,34,Female,2025-12-04,54,90,83,94,8,42,67,No,4,89.9,Pass,High,At-Risk
2553,Web Dev,Online,31,Female,2025-12-05,58,33,27,68,5,37,65,No,2,48.7,Fail,High,At-Risk
2554,HR Management,Online,31,Male,2025-12-06,87,43,34,21,13,41,90,No,3,29.299999999999997,Fail,Medium,Active
2555,HR Management,Offline,33,Female,2025-12-07,61,62,41,86,21,7,86,No,2,67.7,Pass,Low,Active
2556,HR Management,Hybrid,18,Male,2025-12-08,60,51,35,30,24,47,90,Yes,3,35.7,Fail,Medium,Active
2557,Digital Marketing,Hybrid,28,Male,2025-12-09,99,77,72,69,19,2,74,No,1,71.5,Pass,Low,Active
2558,HR Management,Hybrid,32,Male,2025-12-10,91,32,29,54,10,1,57,No,3,42.1,Fail,High,At-Risk
2559,Data Science,Offline,29,Male,2025-12-11,83,52,93,34,20,15,73,No,2,55.3,Pass,Low,Active
2560,Finance,Hybrid,25,Male,2025-12-12,71,97,88,94,23,18,69,No,3,92.8,Pass,Low,Active
2561,Data Science,Offline,23,Female,2025-12-13,89,50,38,50,5,29,97,No,0,46.4,Fail,Medium,Active
2562,Data Science,Hybrid,20,Female,2025-12-14,62,72,74,81,2,40,79,No,3,77.1,Pass,Low,Active
2563,HR Management,Hybrid,30,Male,2025-12-15,52,55,50,47,10,15,69,Yes,3,49.5,Fail,High,At-Risk
2564,Finance,Online,30,Male,2025-12-16,44,70,96,44,16,30,67,No,0,64.8,Pass,High,At-Risk
2565,Finance,Offline,19,Male,2025-12-17,43,67,93,44,23,27,53,No,0,63.3,Pass,High,At-Risk
2566,Finance,Online,22,Female,2025-12-18,67,40,31,94,9,3,97,No,0,64.3,Pass,Low,Active
2567,Digital Marketing,Online,34,Female,2025-12-19,53,58,40,20,16,9,85,No,4,33.6,Fail,High,At-Risk
2568,HR Management,Online,23,Male,2025-12-20,47,89,79,78,16,44,55,No,3,80.5,Pass,High,At-Risk
2569,Finance,Offline,19,Female,2025-12-21,48,96,80,88,19,17,52,No,0,87.2,Pass,High,At-Risk
2570,Digital Marketing,Offline,21,Female,2025-12-22,96,94,28,93,8,46,67,Yes,0,73.7,Pass,Medium,Active
2571,Web Dev,Hybrid,28,Male,2025-12-23,90,90,72,61,23,31,96,No,1,70.1,Pass,Low,Active
2572,Web Dev,Online,25,Male,2025-12-24,74,48,41,53,19,29,89,Yes,4,48.4,Fail,Medium,Active
2573,Digital Marketing,Hybrid,29,Female,2025-12-25,76,75,60,85,17,35,67,Yes,3,75.5,Pass,Low,Active
2574,Digital Marketing,Online,25,Female,2025-12-26,60,78,94,37,3,8,72,No,2,62.3,Pass,Low,Active
2575,HR Management,Offline,28,Female,2025-12-27,97,51,62,96,5,35,84,Yes,4,76.8,Pass,Low,Active
2576,HR Management,Offline,25,Male,2025-12-28,57,86,86,24,21,28,55,No,4,55.0,Pass,High,At-Risk
2577,Web Dev,Offline,25,Male,2025-12-29,72,43,72,39,17,15,75,No,1,49.699999999999996,Fail,High,At-Risk
2578,Finance,Online,34,Male,2025-12-30,47,73,34,85,4,27,70,No,3,67.3,Pass,High,At-Risk
2579,Web Dev,Offline,33,Female,2025-12-31,90,45,60,94,24,20,73,No,3,74.0,Pass,Low,Active
2580,Finance,Online,31,Female,2026-01-01,88,41,53,81,3,46,64,No,0,64.6,Pass,Medium,Active
2581,Finance,Hybrid,28,Male,2026-01-02,56,84,28,51,4,1,76,No,0,50.7,Pass,High,At-Risk
2582,HR Management,Online,24,Female,2026-01-03,82,80,68,77,6,45,81,No,4,74.9,Pass,Low,Active
2583,Data Science,Hybrid,33,Male,2026-01-04,70,68,80,69,3,34,61,Yes,1,72.1,Pass,Low,Active
2584,Data Science,Online,30,Female,2026-01-05,73,62,66,57,20,27,54,No,3,60.7,Pass,Low,Active
2585,Digital Marketing,Hybrid,32,Male,2026-01-06,45,62,37,74,21,35,56,No,1,60.5,Pass,High,At-Risk
2586,HR Management,Offline,33,Female,2026-01-07,61,58,70,47,3,30,71,No,2,56.1,Pass,Low,Active
2587,Finance,Hybrid,26,Female,2026-01-08,53,98,57,93,3,32,76,No,3,83.2,Pass,High,At-Risk
2588,Data Science,Offline,20,Male,2026-01-09,42,99,45,41,23,22,64,No,0,53.8,Pass,High,At-Risk
2589,Finance,Offline,22,Male,2026-01-10,51,60,81,62,24,40,88,No,4,67.3,Pass,Medium,Active
2590,Data Science,Hybrid,27,Male,2026-01-11,75,60,93,55,21,16,94,No,1,67.4,Pass,Low,Active
2591,Data Science,Online,34,Male,2026-01-12,51,75,94,71,19,45,84,No,0,78.7,Pass,High,At-Risk
2592,Data Science,Online,32,Male,2026-01-13,84,81,91,55,21,48,75,Yes,4,71.0,Pass,Low,Active
2593,HR Management,Online,25,Female,2026-01-14,41,39,72,47,22,0,72,No,0,52.9,Pass,High,At-Risk
2594,Web Dev,Online,32,Male,2026-01-15,41,70,57,97,15,41,62,Yes,3,79.6,Pass,High,At-Risk
2595,Finance,Online,31,Male,2026-01-16,54,32,60,77,16,22,75,No,1,62.9,Pass,High,At-Risk
2596,HR Management,Offline,24,Male,2026-01-17,62,88,57,55,13,47,52,No,2,62.2,Pass,Low,Active
2597,HR Management,Online,29,Male,2026-01-18,68,81,55,89,12,26,78,Yes,0,77.2,Pass,Medium,Active
2598,HR Management,Offline,34,Male,2026-01-19,56,63,45,28,12,24,51,No,1,40.1,Fail,High,At-Risk
2599,HR Management,Offline,34,Female,2026-01-20,71,78,51,40,8,31,77,No,3,50.9,Pass,Low,Active
2600,HR Management,Offline,27,Male,2026-01-21,46,57,96,83,13,18,72,No,0,81.69999999999999,Pass,High,At-Risk
2601,Digital Marketing,Hybrid,31,Male,2026-01-22,69,42,86,95,17,23,85,Yes,3,81.7,Pass,Low,Active
2602,Finance,Hybrid,28,Male,2026-01-23,67,98,50,80,6,2,98,No,2,74.6,Pass,Low,Active
2603,HR Management,Offline,19,Female,2026-01-24,53,96,90,59,3,11,55,No,2,75.7,Pass,High,At-Risk
2604,Finance,Hybrid,24,Female,2026-01-25,83,90,36,75,23,34,60,No,4,66.3,Pass,Low,Active
2605,Digital Marketing,Online,29,Male,2026-01-26,69,89,46,23,17,14,87,No,4,43.1,Fail,Medium,Active
2606,Digital Marketing,Online,19,Male,2026-01-27,56,53,41,50,24,16,83,No,4,47.9,Fail,High,At-Risk
2607,Finance,Offline,23,Female,2026-01-28,71,92,31,46,16,49,66,No,3,50.7,Pass,Low,Active
2608,Data Science,Online,27,Female,2026-01-29,85,90,92,77,12,31,52,No,4,84.1,Pass,Low,Active
2609,Web Dev,Offline,32,Female,2026-01-30,45,52,61,44,7,6,93,Yes,1,50.7,Pass,Medium,Active
2610,Data Science,Offline,22,Male,2026-01-31,90,59,62,88,14,18,95,Yes,3,74.4,Pass,Low,Active
2611,Data Science,Online,20,Male,2026-02-01,63,89,35,89,20,6,83,Yes,3,72.8,Pass,Low,Active
2612,Data Science,Hybrid,22,Female,2026-02-02,45,47,25,24,11,4,71,No,4,28.9,Fail,High,At-Risk
2613,HR Management,Online,25,Male,2026-02-03,66,85,49,27,20,39,78,No,4,45.2,Fail,High,At-Risk
2614,Digital Marketing,Online,25,Female,2026-02-04,57,82,66,28,6,20,78,No,3,50.2,Pass,High,At-Risk
2615,Data Science,Offline,25,Female,2026-02-05,63,36,76,34,22,47,54,No,2,47.0,Fail,High,At-Risk
2616,Digital Marketing,Offline,29,Female,2026-02-06,76,98,48,26,8,47,59,No,2,47.0,Fail,High,At-Risk
2617,Finance,Offline,25,Male,2026-02-07,95,81,77,91,12,46,59,No,4,84.8,Pass,Low,Active
2618,Web Dev,Offline,28,Female,2026-02-08,63,33,80,34,15,6,58,Yes,2,47.6,Fail,High,At-Risk
2619,Finance,Hybrid,31,Female,2026-02-09,77,63,87,56,24,36,70,Yes,1,66.7,Pass,Low,Active
2620,Finance,Hybrid,25,Male,2026-02-10,73,98,32,58,22,22,62,No,1,58.2,Pass,Low,Active
2621,HR Management,Hybrid,27,Female,2026-02-11,79,62,83,25,17,10,59,No,1,49.8,Fail,High,At-Risk
2622,Web Dev,Offline,24,Male,2026-02-12,86,98,69,76,19,9,87,No,3,78.3,Pass,Low,Active
2623,Finance,Offline,34,Female,2026-02-13,54,67,51,38,22,20,60,No,3,47.7,Fail,High,At-Risk
2624,Finance,Offline,21,Male,2026-02-14,50,55,76,82,24,40,53,No,3,74.8,Pass,High,At-Risk
2625,Web Dev,Hybrid,30,Female,2026-02-15,61,30,42,50,24,32,95,No,3,43.6,Fail,Medium,Active
2626,Web Dev,Offline,21,Female,2026-02-16,93,33,40,94,5,19,80,No,3,65.6,Pass,Low,Active
2627,Finance,Online,22,Female,2026-02-17,63,68,90,98,2,32,98,Yes,4,89.6,Pass,Low,Active
2628,Web Dev,Online,21,Female,2026-02-18,40,83,29,29,23,39,83,No,2,39.8,Fail,High,At-Risk
2629,Finance,Offline,23,Female,2026-02-19,57,62,27,86,16,34,91,No,4,63.5,Pass,Medium,Active
2630,Finance,Online,19,Male,2026-02-20,83,62,94,81,15,33,84,No,2,81.1,Pass,Low,Active
2631,HR Management,Online,28,Male,2026-02-21,51,49,31,22,20,35,88,Yes,4,30.1,Fail,High,At-Risk
2632,Data Science,Hybrid,31,Female,2026-02-22,96,45,74,37,6,26,88,No,1,49.7,Fail,Medium,Active
2633,Finance,Offline,22,Female,2026-02-23,82,50,38,44,5,18,82,No,0,43.4,Fail,Medium,Active
2634,Digital Marketing,Offline,23,Female,2026-02-24,67,74,62,39,14,42,57,No,3,52.9,Pass,Low,Active
2635,Data Science,Hybrid,27,Male,2026-02-25,79,91,71,77,19,4,81,Yes,0,78.0,Pass,Low,Active
2636,Data Science,Online,25,Male,2026-02-26,99,60,57,69,13,28,82,Yes,0,63.599999999999994,Pass,Low,Active
2637,Data Science,Online,31,Female,2026-02-27,46,71,67,98,24,9,57,No,1,83.3,Pass,High,At-Risk
2638,HR Management,Offline,20,Male,2026-02-28,62,41,53,29,22,39,95,No,0,38.6,Fail,Medium,Active
2639,Finance,Online,29,Female,2026-03-01,60,94,81,40,16,12,63,Yes,0,63.1,Pass,Medium,Active
2640,HR Management,Hybrid,33,Female,2026-03-02,73,32,29,48,24,28,83,No,1,39.1,Fail,Medium,Active
2641,Finance,Hybrid,34,Female,2026-03-03,50,38,84,29,10,4,57,Yes,2,47.3,Fail,High,At-Risk
2642,HR Management,Offline,18,Male,2026-03-04,61,80,94,32,5,11,100,No,4,60.2,Pass,Low,Active
2643,HR Management,Hybrid,27,Female,2026-03-05,81,45,26,66,6,12,91,No,0,49.8,Fail,Medium,Active
2644,Digital Marketing,Hybrid,27,Female,2026-03-06,74,32,94,42,10,21,56,No,3,55.6,Pass,Low,Active
2645,HR Management,Offline,19,Female,2026-03-07,91,53,67,69,14,39,62,No,1,65.2,Pass,Low,Active
2646,Web Dev,Hybrid,26,Male,2026-03-08,68,42,28,23,11,14,70,No,0,28.3,Fail,High,At-Risk
2647,Digital Marketing,Hybrid,30,Male,2026-03-09,81,31,80,86,17,12,96,No,2,73.2,Pass,Low,Active
2648,HR Management,Hybrid,33,Male,2026-03-10,67,50,83,72,14,0,81,No,2,70.9,Pass,Low,Active
2649,Data Science,Online,29,Female,2026-03-11,98,48,33,21,5,37,60,No,3,30.0,Fail,High,At-Risk
2650,Web Dev,Offline,25,Male,2026-03-12,57,76,27,87,22,42,63,No,0,66.8,Pass,High,At-Risk
2651,Web Dev,Offline,34,Female,2026-03-13,53,51,72,84,14,44,60,No,3,73.8,Pass,High,At-Risk
2652,Web Dev,Offline,32,Male,2026-03-14,57,62,67,98,22,0,51,Yes,2,81.5,Pass,High,At-Risk
2653,Digital Marketing,Online,27,Female,2026-03-15,67,61,25,76,9,10,83,Yes,2,57.7,Pass,Low,Active
2654,HR Management,Online,32,Male,2026-03-16,63,93,81,89,14,42,93,No,4,87.4,Pass,Low,Active
2655,HR Management,Offline,32,Female,2026-03-17,47,68,77,26,16,39,96,No,2,49.7,Fail,High,At-Risk
2656,Data Science,Online,24,Male,2026-03-18,81,71,40,38,21,21,66,Yes,1,45.2,Fail,High,At-Risk
2657,Data Science,Offline,30,Male,2026-03-19,93,38,75,63,21,34,63,No,4,61.6,Pass,Low,Active
2658,Web Dev,Online,34,Male,2026-03-20,84,54,99,82,14,43,74,No,3,81.5,Pass,Low,Active
2659,Data Science,Hybrid,26,Female,2026-03-21,92,31,79,84,24,5,97,No,2,71.9,Pass,Low,Active
2660,Digital Marketing,Hybrid,25,Male,2026-03-22,47,48,25,58,6,27,76,Yes,1,46.1,Fail,High,At-Risk
2661,HR Management,Offline,30,Male,2026-03-23,43,49,52,45,23,30,57,No,4,47.9,Fail,High,At-Risk
2662,Web Dev,Online,33,Male,2026-03-24,66,99,77,63,23,7,66,No,1,74.4,Pass,Low,Active
2663,Data Science,Online,26,Male,2026-03-25,75,46,82,31,7,4,54,No,4,49.3,Fail,High,At-Risk
2664,Digital Marketing,Hybrid,29,Female,2026-03-26,44,97,97,41,6,41,61,Yes,4,69.0,Pass,High,At-Risk
2665,Digital Marketing,Hybrid,29,Male,2026-03-27,72,32,84,96,14,47,87,No,4,79.6,Pass,Low,Active
2666,Data Science,Online,23,Female,2026-03-28,88,80,83,33,6,43,67,No,3,57.4,Pass,Low,Active
2667,HR Management,Online,24,Female,2026-03-29,73,55,46,49,14,16,75,No,4,49.3,Fail,High,At-Risk
2668,Data Science,Online,20,Female,2026-03-30,69,85,32,63,21,37,80,No,4,58.1,Pass,Low,Active
2669,Web Dev,Online,33,Female,2026-03-31,47,93,73,57,24,8,86,No,1,69.0,Pass,Medium,Active
2670,Data Science,Online,33,Male,2026-04-01,78,37,66,78,9,9,55,No,4,66.2,Pass,Low,Active
2671,Digital Marketing,Online,24,Female,2026-04-02,86,66,51,61,10,19,90,Yes,3,59.0,Pass,Low,Active
2672,Data Science,Offline,21,Female,2026-04-03,65,56,63,71,22,13,64,No,1,65.6,Pass,Low,Active
2673,HR Management,Online,25,Female,2026-04-04,96,74,49,82,20,13,91,Yes,4,70.5,Pass,Low,Active
2674,Finance,Hybrid,30,Female,2026-04-05,76,33,62,80,21,25,98,Yes,1,65.2,Pass,Low,Active
2675,Data Science,Offline,30,Male,2026-04-06,73,66,48,53,16,28,75,No,3,54.1,Pass,Low,Active
2676,HR Management,Online,34,Male,2026-04-07,46,62,48,58,23,48,100,No,1,55.8,Pass,Medium,Active
2677,HR Management,Hybrid,34,Female,2026-04-08,79,60,84,60,11,26,61,No,3,67.2,Pass,Low,Active
2678,Digital Marketing,Offline,22,Female,2026-04-09,67,84,74,56,12,24,90,No,2,67.0,Pass,Low,Active
2679,HR Management,Hybrid,23,Female,2026-04-10,78,41,90,84,6,15,96,No,4,77.2,Pass,Low,Active
2680,HR Management,Online,30,Male,2026-04-11,78,40,38,98,10,35,63,Yes,3,68.4,Pass,Low,Active
2681,HR Management,Online,31,Male,2026-04-12,67,61,77,51,12,33,50,Yes,4,60.8,Pass,Low,Active
2682,HR Management,Online,21,Male,2026-04-13,53,86,56,27,20,15,66,Yes,3,47.5,Fail,High,At-Risk
2683,Web Dev,Online,24,Male,2026-04-14,92,67,72,37,3,32,82,No,0,53.5,Pass,Low,Active
2684,Web Dev,Offline,25,Male,2026-04-15,89,89,63,64,7,2,78,Yes,0,68.7,Pass,Medium,Active
2685,Digital Marketing,Offline,30,Female,2026-04-16,77,48,64,52,24,22,94,No,0,54.8,Pass,Low,Active
2686,Data Science,Hybrid,23,Male,2026-04-17,43,85,66,24,22,10,80,No,3,48.8,Fail,High,At-Risk
2687,HR Management,Online,23,Male,2026-04-18,81,43,32,93,2,47,57,Yes,4,64.7,Pass,Low,Active
2688,Data Science,Hybrid,20,Female,2026-04-19,57,62,50,55,4,17,79,Yes,0,54.9,Pass,High,At-Risk
2689,Data Science,Offline,20,Male,2026-04-20,83,39,36,42,4,46,62,No,4,39.6,Fail,High,At-Risk
2690,Digital Marketing,Online,30,Male,2026-04-21,87,93,67,59,15,40,65,No,3,68.2,Pass,Low,Active
2691,HR Management,Online,19,Male,2026-04-22,64,93,75,24,21,43,51,No,4,53.1,Pass,Low,Active
2692,HR Management,Offline,33,Female,2026-04-23,46,91,87,53,23,28,94,No,4,70.8,Pass,Medium,Active
2693,Finance,Offline,23,Male,2026-04-24,77,97,73,43,6,49,67,No,0,62.8,Pass,Medium,Active
2694,Data Science,Offline,25,Female,2026-04-25,67,72,51,36,18,4,84,No,1,47.7,Fail,Medium,Active
2695,Data Science,Offline,25,Female,2026-04-26,44,88,33,90,16,23,94,No,2,72.5,Pass,Medium,Active
2696,Web Dev,Offline,23,Male,2026-04-27,42,81,63,41,7,28,68,No,3,55.599999999999994,Pass,High,At-Risk
2697,Finance,Online,31,Male,2026-04-28,83,48,89,34,15,28,62,No,3,53.3,Pass,Low,Active
2698,Web Dev,Offline,20,Male,2026-04-29,70,50,95,34,15,25,100,No,3,55.5,Pass,Low,Active
2699,Web Dev,Online,27,Male,2026-04-30,86,51,95,44,18,39,53,No,2,60.7,Pass,Low,Active
2700,Web Dev,Online,20,Female,2026-05-01,81,38,31,72,9,2,68,No,1,52.9,Pass,Low,Active
2701,Digital Marketing,Offline,29,Male,2026-05-02,97,38,96,40,9,1,99,Yes,4,56.4,Pass,Low,Active
2702,Digital Marketing,Offline,34,Female,2026-05-03,59,56,91,85,20,24,74,No,3,81.0,Pass,High,At-Risk
2703,Web Dev,Online,22,Female,2026-05-04,58,46,34,51,10,18,87,No,4,44.9,Fail,High,At-Risk
2704,Finance,Offline,26,Female,2026-05-05,87,73,95,40,12,39,100,No,0,63.1,Pass,Low,Active
2705,Data Science,Offline,24,Female,2026-05-06,99,74,77,87,14,1,80,Yes,0,81.4,Pass,Low,Active
2706,Finance,Offline,21,Female,2026-05-07,50,37,81,63,14,18,85,No,0,63.2,Pass,High,At-Risk
2707,HR Management,Hybrid,30,Male,2026-05-08,79,47,51,85,20,0,53,Yes,3,67.2,Pass,Low,Active
2708,Digital Marketing,Online,30,Female,2026-05-09,42,62,78,33,22,26,88,Yes,2,52.3,Pass,Medium,Active
2709,Data Science,Hybrid,27,Female,2026-05-10,62,30,28,34,20,44,56,Yes,3,31.4,Fail,High,At-Risk
2710,Data Science,Offline,34,Male,2026-05-11,46,35,47,39,6,48,65,No,0,40.6,Fail,High,At-Risk
2711,HR Management,Hybrid,30,Male,2026-05-12,62,70,72,53,17,34,97,No,0,62.099999999999994,Pass,Low,Active
2712,HR Management,Offline,34,Female,2026-05-13,46,84,66,55,10,40,54,No,3,64.1,Pass,High,At-Risk
2713,Web Dev,Hybrid,21,Female,2026-05-14,85,34,27,28,21,4,96,No,2,28.9,Fail,Medium,Active
2714,Digital Marketing,Offline,18,Male,2026-05-15,73,88,27,90,23,37,72,No,2,70.7,Pass,Low,Active
2715,Digital Marketing,Hybrid,18,Female,2026-05-16,81,47,52,49,4,3,85,No,4,49.5,Fail,Medium,Active
2716,Finance,Hybrid,32,Male,2026-05-17,58,78,87,96,20,16,81,Yes,1,89.7,Pass,Medium,Active
2717,Web Dev,Hybrid,30,Male,2026-05-18,97,94,55,82,6,20,73,No,0,76.3,Pass,Medium,Active
2718,Web Dev,Online,34,Female,2026-05-19,48,83,34,54,9,47,74,No,2,53.8,Pass,High,At-Risk
2719,Web Dev,Hybrid,25,Male,2026-05-20,87,90,73,32,15,30,94,No,0,55.9,Pass,Low,Active
